input_dir,input_file,resolution,profile,level,number_of_nalus,number_of_slice_nalus,number_of_slice_header_nalus,h264nal_status,slice_header_status
svc,svcbmt-10.264,352x240,Constrained Baseline;Unspecified,1.3,929,649,649,0,0
svc,svcbmt-10-l0.264,352x240,Constrained Baseline,1.3,554,276,276,0,0
svc,svcbmt-10-l1.264,352x240,Constrained Baseline;Unspecified,1.3,929,649,649,0,0
svc,svcbmt-11.264,352x240,Constrained Baseline;Unspecified,1.3,983,692,692,0,0
svc,svcbmt-11-l0.264,352x240,Constrained Baseline,1.3,576,287,287,0,0
svc,svcbmt-11-l1.264,352x240,Constrained Baseline;Unspecified,1.3,983,692,692,0,0
svc,svcbmt-12.264,352x240,Constrained Baseline;Unspecified,1.3,1053,765,765,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x107); error: bitstream uses 107 unimplemented syntax structure(s), 107 NAL unit(s) left unparsed",0
svc,svcbmt-1.264,352x240,Constrained Baseline;Unspecified,1.3,604,400,400,0,0
svc,svcbmt-12-l0.264,352x240,Constrained Baseline,1.3,570,284,284,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x107); error: bitstream uses 107 unimplemented syntax structure(s), 107 NAL unit(s) left unparsed",0
svc,svcbmt-12-l1.264,352x240,Constrained Baseline;Unspecified,1.3,1053,765,765,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x107); error: bitstream uses 107 unimplemented syntax structure(s), 107 NAL unit(s) left unparsed",0
svc,svcbmt-13.264,352x240,Constrained Baseline;Unspecified,1.3;2.1,88,60,60,0,0
svc,svcbmt-13-l0.264,352x240,Constrained Baseline;Unspecified,1.3;2.1,48,20,20,0,0
svc,svcbmt-13-l1.264,352x240,Constrained Baseline;Unspecified,1.3;2.1,68,40,40,0,0
svc,svcbmt-13-l2.264,352x240,Constrained Baseline;Unspecified,1.3;2.1,88,60,60,0,0
